experiment,repeat_id,b,scale_state,v_oracle,v_raw,v_iso,delta_v,treat_rate_oracle,treat_rate_raw,treat_rate_iso,raw_treated_true_positive_share,raw_treated_false_positive_share,iso_treated_true_positive_share,iso_treated_false_positive_share,mse_raw,mse_iso,cal_raw,cal_iso,t_theta,flip_rate,flip_count,beneficial_flip_rate,harmful_flip_rate,beneficial_flip_count,harmful_flip_count,beneficial_sign_share,harmful_sign_share,beneficial_value,harmful_value,mean_tau_flip_region,mean_abs_tau_flip_region,global_spearman,flip_region_spearman
slope_bias,6,1,identity_scale,0.966202478628561,0.966202478628561,0.965187996966553,-0.0010144816620079,0.1624,0.1624,0.051,1,0,1,0,0,0.000746731033298838,0.000561178486189588,0.00123926323120811,0.0228693531861912,0.1114,557,0,0.1114,0,557,0,1,0,-0.00101448166200792,0.00910665764818598,0.00910665764818598,1,1
slope_bias,6,1.25,expanded,0.966202478628561,0.966202478628561,0.965187996966553,-0.0010144816620079,0.1624,0.1624,0.051,1,0,1,0,0.00283335889441605,0.000746731033298838,0.00376698854650726,0.00123926323120811,0.028586691482739,0.1114,557,0,0.1114,0,557,0,1,0,-0.00101448166200792,0.00910665764818598,0.00910665764818598,1,1
slope_bias,6,1.5,expanded,0.966202478628561,0.966202478628561,0.965187996966553,-0.0010144816620079,0.1624,0.1624,0.051,1,0,1,0,0.0113334355776642,0.000746731033298838,0.0125343898688647,0.00123926323120811,0.0343040297792868,0.1114,557,0,0.1114,0,557,0,1,0,-0.00101448166200792,0.00910665764818598,0.00910665764818598,1,1
slope_bias,6,2,expanded,0.966202478628561,0.966202478628561,0.965187996966553,-0.0010144816620079,0.1624,0.1624,0.051,1,0,1,0,0.0453337423106568,0.000746731033298838,0.0467539662996986,0.00123926323120811,0.0457387063723824,0.1114,557,0,0.1114,0,557,0,1,0,-0.00101448166200792,0.00910665764818598,0.00910665764818598,1,1
slope_bias,7,0.25,compressed,0.963903709974024,0.963903709974024,0.963837318119896,-6.6391854127601e-05,0.1606,0.1606,0.1906,1,0,0.842602308499475,0.157397691500525,0.0246623926549084,0.000958484978093638,0.0263948673795248,0.000886239536514583,-0.00105240545956864,0.03,150,0,0.03,0,150,0,1,0,-6.63918541275196e-05,-0.00221306180425065,0.00221306180425065,1,1
slope_bias,7,0.5,compressed,0.963903709974024,0.963903709974024,0.963837318119896,-6.6391854127601e-05,0.1606,0.1606,0.1906,1,0,0.842602308499475,0.157397691500525,0.0109610634021815,0.000958484978093638,0.0123696468814028,0.000886239536514583,-0.00210481091913728,0.03,150,0,0.03,0,150,0,1,0,-6.63918541275196e-05,-0.00221306180425065,0.00221306180425065,1,1
slope_bias,7,0.75,compressed,0.963903709974024,0.963903709974024,0.963837318119896,-6.6391854127601e-05,0.1606,0.1606,0.1906,1,0,0.842602308499475,0.157397691500525,0.00274026585054538,0.000958484978093638,0.00371923801293408,0.000886239536514583,-0.00315721637870592,0.03,150,0,0.03,0,150,0,1,0,-6.63918541275196e-05,-0.00221306180425065,0.00221306180425065,1,1
slope_bias,7,1,identity_scale,0.963903709974024,0.963903709974024,0.963837318119896,-6.6391854127601e-05,0.1606,0.1606,0.1906,1,0,0.842602308499475,0.157397691500525,0,0.000958484978093638,0.000443640774118676,0.000886239536514583,-0.00420962183827456,0.03,150,0,0.03,0,150,0,1,0,-6.63918541275196e-05,-0.00221306180425065,0.00221306180425065,1,1
slope_bias,7,1.25,expanded,0.963903709974024,0.963903709974024,0.963837318119896,-6.6391854127601e-05,0.1606,0.1606,0.1906,1,0,0.842602308499475,0.157397691500525,0.00274026585054538,0.000958484978093638,0.00254285516495659,0.000886239536514583,-0.0052620272978432,0.03,150,0,0.03,0,150,0,1,0,-6.63918541275196e-05,-0.00221306180425065,0.00221306180425065,1,1
slope_bias,7,1.5,expanded,0.963903709974024,0.963903709974024,0.963837318119896,-6.6391854127601e-05,0.1606,0.1606,0.1906,1,0,0.842602308499475,0.157397691500525,0.0109610634021815,0.000958484978093638,0.0100168811854478,0.000886239536514583,-0.00631443275741184,0.03,150,0,0.03,0,150,0,1,0,-6.63918541275196e-05,-0.00221306180425065,0.00221306180425065,1,1
slope_bias,7,2,expanded,0.963903709974024,0.963903709974024,0.963837318119896,-6.6391854127601e-05,0.1606,0.1606,0.1906,1,0,0.842602308499475,0.157397691500525,0.043844253608726,0.000958484978093638,0.0410893681153902,0.000886239536514583,-0.00841924367654912,0.03,150,0,0.03,0,150,0,1,0,-6.63918541275196e-05,-0.00221306180425065,0.00221306180425065,1,1
