sample_size,learner,calibration_method,raw_bin,raw_bin_mid,raw_bin_lower,raw_bin_upper,corrected_rate,wrong_rate,total_flip_rate,count
1000,RF,Causal Isotonic,4,-0.649978886259606,-0.6662062744337,-0.634664505220205,0,0,0,5990
1000,RF,Causal Isotonic,1,-0.744563347071769,-0.760853896779857,-0.729306126788928,0,0,0,3484
1000,RF,Causal Isotonic,22,-0.0817522765958093,-0.0983320694808904,-0.0667843841886455,0,0,0,59323
1000,RF,Causal Isotonic,26,0.0412067904947397,0.0278625884227436,0.0594078647654067,0.566397108232732,-0.270060476863545,0.836457585096276,43157
1000,RF,Causal Isotonic,29,0.136925285388852,0.122509834419303,0.154053029517907,0.385800508259212,-0.212515883100381,0.598316391359593,6296
1000,RF,Causal Isotonic,14,-0.33477082591684,-0.350718171295627,-0.319174325477584,0,0,0,18157
1000,RF,Causal Isotonic,30,0.168819661883999,0.154064724449205,0.185605916707053,0.363885429638854,-0.18879202988792,0.552677459526775,4015
1000,RF,Causal Isotonic,16,-0.271500552499887,-0.287620729168705,-0.256076642997561,0,0,0,22037
1000,RF,Causal Isotonic,20,-0.145186405096763,-0.161429359869138,-0.129882295950255,0,0,0,37068
1000,RF,Causal Isotonic,8,-0.523923746185973,-0.540012204886805,-0.508465269870016,0,0,0,10246
1000,RF,Causal Isotonic,3,-0.681671439499247,-0.697746389688732,-0.666208358981827,0,0,0,5213
1000,RF,Causal Isotonic,18,-0.208464364204153,-0.22452659142568,-0.192978844989332,0,0,0,27471
1000,RF,Causal Isotonic,12,-0.397803258175438,-0.413817458006123,-0.382271028396454,0,0,0,14893
1000,RF,Causal Isotonic,15,-0.303130845946462,-0.31917217171038,-0.287627643570419,0,0,0,19797
1000,RF,Causal Isotonic,7,-0.555523733214752,-0.571560303693029,-0.540017848822952,0,0,0,9199
1000,RF,Causal Isotonic,28,0.10535089338546,0.0909613751703714,0.122507579419531,0.425843115334451,-0.230948388298863,0.656791503633315,10734
2000,GLMnet,Causal Isotonic,2,-0.359089240167631,-0.367923121235052,-0.35131644413726,0,0,0,10578
2000,GLMnet,Causal Isotonic,10,-0.226675396521362,-0.235048653866683,-0.218439584201005,0,0,0,36382
2000,GLMnet,Causal Isotonic,19,-0.0772381300065575,-0.0855609673777081,-0.0689543139576472,0.00779972660752097,-0.0385965852743306,0.0463963118818516,37309
2000,GLMnet,Causal Isotonic,14,-0.160298473230525,-0.168610225402121,-0.152000929523014,0,0,0,37325
2000,GLMnet,Causal Isotonic,16,-0.127095780242278,-0.135390903840469,-0.118781787239839,0.000586119621686426,-0.00548821100306381,0.00607433062475023,37535
2000,GLMnet,Causal Isotonic,18,-0.0938347552048512,-0.102171230501577,-0.0855624674645893,0.00364876655826128,-0.0191692445995611,0.0228180111578224,37821
2000,GLMnet,Causal Isotonic,4,-0.326103570696145,-0.334705598026055,-0.318097475030954,0,0,0,19636
2000,GLMnet,Causal Isotonic,15,-0.143676415092855,-0.152000256892306,-0.135391134931785,0.000106131762583247,-0.00175117408262358,0.00185730584520682,37689
2000,GLMnet,Causal Isotonic,23,-0.0108849048521354,-0.0191233958354813,-0.00251410376133385,0.0829771392328268,-0.207870281002675,0.290847420235502,36263
2000,GLMnet,Causal Isotonic,12,-0.193465666475966,-0.201828860970932,-0.185220080911762,0,0,0,37291
2000,GLMnet,Causal Isotonic,21,-0.0440596210245925,-0.0523423331511467,-0.0357337989643128,0.0286421593419757,-0.0948971171506908,0.123539276492666,37567
2000,GLMnet,Causal Isotonic,28,0.0717924730002538,0.0639249188891234,0.0805343423692888,0.0997431028705462,-0.0891321344800626,0.188875237350609,17906
2000,GLMnet,Causal Isotonic,17,-0.11048159594323,-0.118780499288259,-0.102172641891515,0.0016710875331565,-0.0105305039787798,0.0122015915119363,37700
2000,GLMnet,Causal Isotonic,24,0.00570954828285173,-0.00251379272039694,0.0140955204735054,0.349782419495213,-0.199042645778938,0.548825065274151,34470
2000,GLMnet,Causal Isotonic,25,0.0222072903847656,0.0140962275049568,0.0307051612214814,0.315023310392947,-0.167263962449653,0.482287272842599,31531
2000,GLMnet,Causal Isotonic,13,-0.176947778805736,-0.185219711935095,-0.168610262109043,0,0,0,37297
2000,GLMnet,Causal Isotonic,5,-0.309549152042791,-0.318096915987273,-0.301488125178917,0,0,0,23729
2000,GLMnet,Causal Isotonic,11,-0.210161132013522,-0.218437986961743,-0.201829742709067,0,0,0,36877
2000,GLMnet,Causal Isotonic,9,-0.243287205882197,-0.251658216192936,-0.235049475199438,0,0,0,35322
2000,GLMnet,Causal Isotonic,6,-0.293025646030581,-0.301486371505262,-0.284877842033269,0,0,0,27912
2000,GLMnet,Causal Isotonic,1,-0.375591346964708,-0.384535576772365,-0.367927516661844,0,0,0,6950
2000,GLMnet,Causal Isotonic,26,0.0387924597024257,0.030705544639287,0.0473127584620801,0.238308457711443,-0.142395167022033,0.380703624733475,28140
2000,GLMnet,Causal Isotonic,22,-0.0274984575681042,-0.035732801392808,-0.0191234599999171,0.0553417529405388,-0.154452815870779,0.209794568811318,36898
2000,GLMnet,Causal Isotonic,7,-0.276443583965185,-0.284877534800932,-0.2682682785931,0,0,0,31350
2000,GLMnet,Causal Isotonic,8,-0.259882952170937,-0.268267875538721,-0.251658564075257,0,0,0,33964
2000,GLMnet,Causal Isotonic,3,-0.342523170234475,-0.351316194520435,-0.334706672238227,0,0,0,14541
2000,GLMnet,Causal Isotonic,20,-0.0606430415766805,-0.068952030853755,-0.05234274723866,0.0132657146670226,-0.0543173628720139,0.0675830775390364,37465
2000,GLMnet,Causal Isotonic,27,0.0553402395923332,0.0473156319323434,0.0639245051763857,0.161403955521603,-0.118580765639589,0.279984721161192,23562
2000,GLMnet,Causal Isotonic,30,0.104804199945839,0.0971448645942534,0.113753687179792,0.0324219695136705,-0.0603677715944834,0.0927897411081539,8266
2000,GLMnet,Causal Isotonic,29,0.0883349244061912,0.0805358023580944,0.0971414672603514,0.0551713297705124,-0.0682175416535681,0.12338887142408,12724
2000,GBRT 8,Causal Isotonic,10,-0.487881877534157,-0.504508372740352,-0.472021819469189,0,0,0,11749
2000,GBRT 8,Causal Isotonic,22,-0.0977268707615872,-0.114646353423823,-0.0821596236608127,0,0,0,58034
2000,GBRT 8,Causal Isotonic,26,0.0296122037526339,0.015307028307725,0.0477950441064645,0.559622157836347,-0.365229473412104,0.924851631248452,92843
2000,GBRT 8,Causal Isotonic,24,-0.0325431731262931,-0.0496698767432866,-0.0171816112008181,0.000239293898925939,-0.00130691283259551,0.00154620673152145,108653
2000,GBRT 8,Causal Isotonic,17,-0.260425987282103,-0.27708996577322,-0.244601705428281,0,0,0,24792
2000,GBRT 8,Causal Isotonic,19,-0.195443369703678,-0.2121120647488,-0.179626498586388,0,0,0,32447
2000,GBRT 8,Causal Isotonic,7,-0.585371094394548,-0.601974430746119,-0.569487855280701,0,0,0,8064
2000,GBRT 8,Causal Isotonic,23,-0.0650400642487274,-0.0821575395600765,-0.0496702550978293,0,0,0,76951
2000,GBRT 8,Causal Isotonic,25,-0.000948140642787255,-0.0171815171539703,0.015306932650856,0.319281693431097,-0.143563349183503,0.4628450426146,132701
2000,GBRT 8,Causal Isotonic,21,-0.130301432729816,-0.147135487701411,-0.114647356443063,0,0,0,45960
2000,GBRT 8,Causal Isotonic,12,-0.422998775967116,-0.439531813150243,-0.407046765437816,0,0,0,14679
2000,GBRT 8,Causal Isotonic,27,0.0615927026588388,0.0477955864546251,0.0802834586545663,0.450924147564291,-0.360380135192437,0.811304282756728,40091
2000,GBRT 8,Causal Isotonic,30,0.16009340877363,0.145261800658355,0.177749711340294,0.377704512672574,-0.227282093550381,0.604986606222955,4853
2000,GBRT 8,Causal Isotonic,14,-0.358063030572759,-0.374555353740128,-0.342068645943196,0,0,0,17899
2000,GBRT 8,Causal Isotonic,13,-0.390511675643266,-0.407043486634253,-0.374555738395275,0,0,0,16074
2000,GBRT 8,Causal Isotonic,15,-0.325465428953548,-0.342065836497926,-0.309578550457353,0,0,0,19855
2000,GBRT 8,Causal Isotonic,20,-0.162928554230278,-0.179623916523608,-0.147136133856189,0,0,0,38168
2000,GBRT 8,Causal Isotonic,16,-0.292940462228167,-0.30957549088614,-0.277090634187766,0,0,0,22097
2000,GBRT 8,Causal Isotonic,9,-0.520434475192013,-0.53699411899534,-0.504512497827989,0,0,0,10368
2000,GBRT 8,Causal Isotonic,18,-0.2279842055034,-0.244600470838268,-0.212112946067645,0,0,0,28117
2000,GBRT 8,Causal Isotonic,11,-0.455592027968466,-0.472021113116416,-0.439539998398858,0,0,0,13033
2000,GBRT 8,Causal Isotonic,28,0.0945258416055932,0.080285052167482,0.112770740004172,0.420844480632779,-0.315284401535419,0.736128882168198,17194
2000,GBRT 8,Causal Isotonic,29,0.127455957444906,0.112782570539289,0.145252785098629,0.400251227589357,-0.264930912412927,0.665182140002284,8757
2000,GBRT 8,Causal Isotonic,8,-0.552895337133401,-0.569484454668378,-0.536998637116374,0,0,0,9212
2000,GBRT 8,Causal Isotonic,4,-0.682698158818665,-0.699437943848526,-0.666954846025502,0,0,0,5238
2000,GBRT 8,Causal Isotonic,5,-0.65045365473276,-0.666940975109376,-0.63446498969773,0,0,0,6127
2000,GBRT 8,Causal Isotonic,3,-0.71526361096713,-0.731915155026734,-0.69944618445921,0,0,0,4355
2000,GBRT 8,Causal Isotonic,6,-0.617893554589409,-0.63446042515938,-0.601979042639518,0,0,0,7123
2000,GBRT 8,Causal Isotonic,2,-0.747705776216053,-0.764416888866523,-0.731948228467294,0,0,0,3573
